word,definition
fluoxetine_hydrocholoride,a selective-serotonin reuptake inhibitor commonly prescribed as an antidepressant (trade names Prozac or Sarafem); it is thought to work by increasing the activity of serotonin in the brain
Prozac,a selective-serotonin reuptake inhibitor commonly prescribed as an antidepressant (trade names Prozac or Sarafem); it is thought to work by increasing the activity of serotonin in the brain
Sarafem,a selective-serotonin reuptake inhibitor commonly prescribed as an antidepressant (trade names Prozac or Sarafem); it is thought to work by increasing the activity of serotonin in the brain
fluphenazine,tranquilizer used to treat psychotic disorders
flurazepam,tranquilizer (trade name Dalmane) used to treat insomnia
flurazepam_hydrochloride,tranquilizer (trade name Dalmane) used to treat insomnia
Dalmane,tranquilizer (trade name Dalmane) used to treat insomnia
flurbiprofen,a nonsteroidal anti-inflammatory drug (trade name Ansaid) that is administered only orally
Ansaid,a nonsteroidal anti-inflammatory drug (trade name Ansaid) that is administered only orally
flushless_toilet,a toilet that relies on bacteria to break down waste matter (instead of using water)
flush_toilet,a toilet that is cleaned of waste by the flow of water through it
lavatory,a toilet that is cleaned of waste by the flow of water through it
flute,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown
transverse_flute,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown
flute,a groove or furrow in cloth etc (particularly a shallow concave groove on the shaft of a column)
fluting,a groove or furrow in cloth etc (particularly a shallow concave groove on the shaft of a column)
flute,a tall narrow wineglass
flute_glass,a tall narrow wineglass
champagne_flute,a tall narrow wineglass
fluvastatin,least expensive statin drug (trade name Lescol); usually taken orally at bedtime
Lescol,least expensive statin drug (trade name Lescol); usually taken orally at bedtime
flux_applicator,an applicator for applying flux (as in soldering)
fluxmeter,meter that measures magnetic flux by the current it generates in a coil
fly,an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth
fly_front,an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth
fly,fisherman's lure consisting of a fishhook decorated to look like an insect
fly_gallery,a narrow raised platform at the side of a stage in a theater; stagehands can work the ropes controlling equipment in the flies
fly_floor,a narrow raised platform at the side of a stage in a theater; stagehands can work the ropes controlling equipment in the flies
flying_boat,a large seaplane that floats with its fuselage in the water rather than on pontoons
flying_bridge,the highest navigational bridge on a ship; a small (often open) deck above the pilot house
flybridge,the highest navigational bridge on a ship; a small (often open) deck above the pilot house
fly_bridge,the highest navigational bridge on a ship; a small (often open) deck above the pilot house
monkey_bridge,the highest navigational bridge on a ship; a small (often open) deck above the pilot house
flying_buttress,a buttress that stands apart from the main structure and connected to it by an arch
arc-boutant,a buttress that stands apart from the main structure and connected to it by an arch
flying_carpet,(Asian folktale) an imaginary carpet that will fly people anywhere they wish to go
flying_jib,the outermost of two or more jibs
fly_rod,a long flexible fishing rod used in fly fishing
fly_tent,a tent with a fly front
flytrap,a trap for catching flies
flywheel,regulator consisting of a heavy wheel that stores kinetic energy and smooths the operation of a reciprocating engine
fob,short chain or ribbon attaching a pocket watch to a man's vest
watch_chain,short chain or ribbon attaching a pocket watch to a man's vest
watch_guard,short chain or ribbon attaching a pocket watch to a man's vest
fob,an adornment that hangs from a watch chain
fob,a vest pocket to hold a pocket watch
watch_pocket,a vest pocket to hold a pocket watch
foghorn,a warning device consisting of a horn that generates a loud low tone
foglamp,headlight that provides strong beam for use in foggy weather
foible,the weaker part of a sword's blade from the forte to the tip
foil,a light slender flexible sword tipped by a button
foil,a piece of thin and flexible sheet metal
foil,picture consisting of a positive photograph or drawing on a transparent base; viewed with a projector
transparency,picture consisting of a positive photograph or drawing on a transparent base; viewed with a projector
fold,a pen for sheep
sheepfold,a pen for sheep
sheep_pen,a pen for sheep
sheepcote,a pen for sheep
folder,covering that is folded over to protect the contents
folderal,ornamental objects of no great value
falderol,ornamental objects of no great value
frill,ornamental objects of no great value
gimcrackery,ornamental objects of no great value
gimcrack,ornamental objects of no great value
nonsense,ornamental objects of no great value
trumpery,ornamental objects of no great value
folding_chair,a chair that can be folded flat for storage
folding_door,an interior door that opens by folding back in sections (rather than by swinging on hinges)
accordion_door,an interior door that opens by folding back in sections (rather than by swinging on hinges)
folding_saw,a saw with a toothed blade that folds into a handle (the way a pocketknife folds)
foliation,(architecture) leaf-like architectural ornament
foliage,(architecture) leaf-like architectural ornament
folio,a book (or manuscript) consisting of large sheets of paper folded in the middle to make two leaves or four pages
folk_art,genre of art of unknown origin that reflects traditional values of a society
follow-up,a piece of work that exploits or builds on earlier work
followup,a piece of work that exploits or builds on earlier work
food_additive,an additive to food intended to improve its flavor or appearance or shelf-life
artificial_additive,an additive to food intended to improve its flavor or appearance or shelf-life
food_court,an area (as in a shopping mall) where fast food is sold (usually around a common eating area)
food_processor,a kitchen appliance with interchangeable blades; used for shredding or blending or chopping or slicing food
food_hamper,a hamper for packing and transporting food
foot,a support resembling a pedal extremity
footage,film that has been shot
football,the inflated oblong ball used in playing American football
football_field,the playing field on which football is played
gridiron,the playing field on which football is played
football_helmet,a padded helmet with a face mask to protect the head of football players
football_stadium,a stadium where football games are held
footbath,a small bathtub for warming or washing or disinfecting the feet
footboard,a vertical board or panel forming the foot of a bedstead
footboard,a narrow platform on which to stand or brace the feet
foot_brake,hydraulic brake operated by pressing on a foot pedal
footbridge,a bridge designed for pedestrians
overcrossing,a bridge designed for pedestrians
pedestrian_bridge,a bridge designed for pedestrians
foothold,a place providing support for the foot in standing or climbing
footing,a place providing support for the foot in standing or climbing
footlights,theater light at the front of a stage that illuminate the set and actors
footlocker,a trunk for storing personal possessions; usually kept at the foot of a bed (as in a barracks)
locker,a trunk for storing personal possessions; usually kept at the foot of a bed (as in a barracks)
footplate,the platform in the cab of a locomotive on which the engineer stands to operate the controls
foot_rule,a ruler one foot long
footstool,a low seat or a stool to rest the feet of a seated person
footrest,a low seat or a stool to rest the feet of a seated person
ottoman,a low seat or a stool to rest the feet of a seated person
tuffet,a low seat or a stool to rest the feet of a seated person
footwear,covering for a person's feet
footgear,covering for a person's feet
footwear,clothing worn on a person's feet
forceps,an extractor consisting of a pair of pincers used in medical treatment (especially for the delivery of babies)
force_pump,pump used to force a liquid up and expel it under pressure
fore-and-after,sailing vessel with a fore-and-aft rig
fore-and-aft_rig,rig in which the principal sails are fore-and-aft
fore-and-aft_sail,any sail not set on a yard and whose normal position is in a fore-and-aft direction
forecastle,living quarters consisting of a superstructure in the bow of a merchant ship where the crew is housed
fo'c'sle,living quarters consisting of a superstructure in the bow of a merchant ship where the crew is housed
forecourt,the outer or front court of a building or of a group of buildings
foredeck,the deck between the bridge and the forecastle
fore_edge,the part of a book that faces inward when the book is shelved; the part opposite the spine
foredge,the part of a book that faces inward when the book is shelved; the part opposite the spine
foreground,(computer science) a window for an active application
foremast,the mast nearest the bow in vessels with two or more masts
fore_plane,a carpenter's plane intermediate between a jack plane and a jointer plane
foresail,the lowest sail on the foremast of a square-rigged vessel
forestay,an adjustable stay from the foremast to the deck or bowsprit; controls the bending of the mast
foretop,a platform at the head of a foremast
fore-topmast,the topmast next above the foremast
fore-topsail,the topsail on a foremast
forge,a workplace where metal is worked by heating and hammering
smithy,a workplace where metal is worked by heating and hammering
forge,furnace consisting of a special hearth where metal is heated before shaping
fork,cutlery used for serving and eating food
fork,an agricultural tool used for lifting or digging; has a handle and metal prongs
forklift,a small industrial vehicle with a power operated forked platform in front that can be inserted under loads to lift and move them
form,a mold for setting concrete
formal_garden,a garden laid out on regular lines with plants arranged in symmetrical locations or in geometrical designs
formalwear,attire to wear on formal occasions in the evening
eveningwear,attire to wear on formal occasions in the evening
evening_dress,attire to wear on formal occasions in the evening
evening_clothes,attire to wear on formal occasions in the evening
formation,a particular spatial arrangement
Formica,any of various plastic laminates containing melamine
forte,the stronger part of a sword blade between the hilt and the foible
fortification,defensive structure consisting of walls or mounds built around a stronghold to strengthen it
munition,defensive structure consisting of walls or mounds built around a stronghold to strengthen it
fortress,a fortified defensive structure
fort,a fortified defensive structure
forty-five,a .45-caliber pistol
forum,a public facility to meet for open discussion
assembly,a public facility to meet for open discussion
meeting_place,a public facility to meet for open discussion
Foucault_pendulum,pendulum with a long wire; can swing in any direction; the change in the swing plane demonstrates the earth's rotation
foulard,a light plain-weave or twill-weave silk or silklike fabric (usually with a printed design)
foul-weather_gear,protective garment that is intended to keep the wearer dry and warm in bad weather
foundation,lowest support of a structure
base,lowest support of a structure
fundament,lowest support of a structure
foot,lowest support of a structure
groundwork,lowest support of a structure
substructure,lowest support of a structure
understructure,lowest support of a structure
foundation_garment,a woman's undergarment worn to give shape to the contours of the body
foundation,a woman's undergarment worn to give shape to the contours of the body
foundation_stone,a stone laid at a ceremony to mark the founding of a new building
foundry,factory where metal castings are produced
metalworks,factory where metal castings are produced
fountain,a plumbing fixture that provides a flow of water
fount,a plumbing fixture that provides a flow of water
fountain,an artificially produced flow of water
jet,an artificially produced flow of water
fountain,a structure from which an artificially produced jet of water arises
fountain_pen,a pen that is supplied with ink from a reservoir in its barrel
four-in-hand,a long necktie that is tied in a slipknot with one end hanging in front of the other
fourpenny_nail,a nail 1.5 inches long
four-poster,a bed with posts at the four corners that can be used to support a canopy or curtains
four-pounder,an artillery gun that throws a shot weighing four pounds
four-spot,a playing card or domino or die whose upward face shows four pips
four,a playing card or domino or die whose upward face shows four pips
four-stroke_engine,an internal-combustion engine in which an explosive mixture is drawn into the cylinder on the first stroke and is compressed and ignited on the second stroke; work is done on the third stroke and the products of combustion are exhausted on the fourth stroke
four-stroke_internal-combustion_engine,an internal-combustion engine in which an explosive mixture is drawn into the cylinder on the first stroke and is compressed and ignited on the second stroke; work is done on the third stroke and the products of combustion are exhausted on the fourth stroke
four-tailed_bandage,a bandage consisting of a strip of cloth split in two on both ends; the central part is placed under the chin to restrict motion of the mandible and the tails are tied over the top of the head
four-wheel_drive,a transmission that provides power directly to all four wheels of a motor vehicle
4WD,a transmission that provides power directly to all four wheels of a motor vehicle
four-wheel_drive,a motor vehicle with a four-wheel drive transmission system
4WD,a motor vehicle with a four-wheel drive transmission system
four-wheeler,a hackney carriage with four wheels
fowling_piece,a light shotgun used for fowling
foxhole,a small dugout with a pit for individual shelter against enemy fire
fox_hole,a small dugout with a pit for individual shelter against enemy fire
fraction,a small part or item forming a piece of a whole
fragmentation_bomb,a bomb with only 10 to 20 per cent explosive and the remainder consisting of casings designed to break into many small high-velocity fragments; most effective against troops and vehicles
antipersonnel_bomb,a bomb with only 10 to 20 per cent explosive and the remainder consisting of casings designed to break into many small high-velocity fragments; most effective against troops and vehicles
anti-personnel_bomb,a bomb with only 10 to 20 per cent explosive and the remainder consisting of casings designed to break into many small high-velocity fragments; most effective against troops and vehicles
daisy_cutter,a bomb with only 10 to 20 per cent explosive and the remainder consisting of casings designed to break into many small high-velocity fragments; most effective against troops and vehicles
frail,a basket for holding dried fruit (especially raisins or figs)
fraise,sloping or horizontal rampart of pointed stakes
fraise,a ruff for the neck worn in the 16th century
frame,a framework that supports and protects a picture or a mirror
framing,a framework that supports and protects a picture or a mirror
frame,the framework for a pair of eyeglasses
frame,"a single one of a series of still transparent pictures forming a cinema, television or video film"
frame_buffer,(computer science) a buffer that stores the contents of an image pixel by pixel
framework,a structure supporting or containing something
Francis_turbine,a type of hydroelectric turbine
franking_machine,a machine that automatically stamps letters or packages passing through it and computes the total charge
freeboard_deck,the uppermost watertight deck
free_house,a public house that is not controlled by a brewery and so is free to sell different brands of beer and ale
free-reed,a reed that does not fit closely over the aperture
free-reed_instrument,a wind instrument with a free reed
free_throw_lane,a lane on a basketball court extending from the end line to 15 feet in front of the backboard; players may not enter this lane during a free throw
freewheel,a clutch (as on the rear wheel of a bicycle) that allows wheels to turn freely (as in coasting)
freight_car,a railway car that carries freight
freight_elevator,an elevator designed for carrying freight
service_elevator,an elevator designed for carrying freight
freight_liner,a long-distance express freight train between industrial centers and seaports with facilities for rapid loading and unloading of goods
liner_train,a long-distance express freight train between industrial centers and seaports with facilities for rapid loading and unloading of goods
freight_train,a railroad train consisting of freight cars
rattler,a railroad train consisting of freight cars
French_door,a light door with transparent or glazed panels extending the full length
French_heel,a fairly high narrow heel on women's shoes
French_horn,a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves
horn,a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves
French_knot,a stitch made by looping the thread several times around the needle before inserting it into the fabric
French_polish,a varnish for wood consisting of shellac dissolved in alcohol
French_polish_shellac,a varnish for wood consisting of shellac dissolved in alcohol
French_roof,a mansard roof with sides that are nearly perpendicular
French_window,a French door situated in an exterior wall of a building
fresco,a mural done with watercolors on wet plaster
freshener,anything that freshens
Fresnel_lens,lens composed of a number of small lenses arranged to make a lightweight lens of large diameter and short focal length
fret,a small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch
fret,an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief)
Greek_fret,an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief)
Greek_key,an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief)
key_pattern,an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief)
friary,a monastery of friars
friction_clutch,a clutch in which one part turns the other by the friction between them
friction_tape,a water-resistant adhesive tape used to insulate exposed electrical conductors
insulating_tape,a water-resistant adhesive tape used to insulate exposed electrical conductors
frieze,a heavy woolen fabric with a long nap
frieze,an architectural ornament consisting of a horizontal sculptured band between the architrave and the cornice
frigate,a United States warship larger than a destroyer and smaller than a cruiser
frigate,a medium size square-rigged warship of the 18th and 19th centuries
frill,a strip of pleated material used as a decoration or a trim
flounce,a strip of pleated material used as a decoration or a trim
ruffle,a strip of pleated material used as a decoration or a trim
furbelow,a strip of pleated material used as a decoration or a trim
fringe,an ornamental border consisting of short lengths of hanging threads or tassels
Frisbee,"a light, plastic disk about 10 inches in diameter; propelled with a flip of the wrist for recreation or competition"
frock,a habit worn by clerics
frock_coat,a man's coat having knee-length skirts front and back; worn in the 19th century
frog,a decorative loop of braid or cord
front,the side that is seen or that goes first
frontage_road,a local road that runs parallel to an expressway and allows local traffic to gain access to property
service_road,a local road that runs parallel to an expressway and allows local traffic to gain access to property
frontal,a drapery that covers the front of an altar
front_bench,any of the front seats in the House of Commons that are reserved for ministers or former ministers
front_door,exterior door (at the entrance) at the front of a building
front_entrance,exterior door (at the entrance) at the front of a building
frontispiece,front illustration facing the title page of a book
frontispiece,an ornamental facade
frontlet,an adornment worn on the forehead
frontal,an adornment worn on the forehead
front_porch,a porch for the front door
front_projector,a projector for digital input
front_yard,the yard in front of a house; between the house and the street
fruit_machine,a coin-operated gambling machine that produces random combinations of symbols (usually pictures of different fruits) on rotating dials; certain combinations win money for the player
frying_pan,a pan used for frying foods
frypan,a pan used for frying foods
skillet,a pan used for frying foods
fuel-air_explosive,a device consisting of a container of fuel and two explosive charges; the first charge bursts open the fuel container at a predetermined height and spreads the fuel in a cloud that mixes with atmospheric oxygen; the second charge detonates the cloud which creates an enormous blast wave and incinerates whatever is below
FAE,a device consisting of a container of fuel and two explosive charges; the first charge bursts open the fuel container at a predetermined height and spreads the fuel in a cloud that mixes with atmospheric oxygen; the second charge detonates the cloud which creates an enormous blast wave and incinerates whatever is below
fuel_cell,cell that produces electricity by oxidation of fuel (hydrogen and oxygen or zinc and air); often used in electric cars
fuel_filter,a filter in the fuel line that screens out dirt and rust particles from the fuel
fuel_gauge,an indicator of the amount of fuel remaining in a vehicle
fuel_indicator,an indicator of the amount of fuel remaining in a vehicle
fuel_injection,mechanical system to inject atomized fuel directly into the cylinders of an internal-combustion engine; avoids the need for a carburetor
fuel_injection_system,mechanical system to inject atomized fuel directly into the cylinders of an internal-combustion engine; avoids the need for a carburetor
fuel_line,a pipe that carries gasoline from a tank to a gasoline engine
gas_line,a pipe that carries gasoline from a tank to a gasoline engine
petrol_line,a pipe that carries gasoline from a tank to a gasoline engine
fuel_system,equipment in a motor vehicle or aircraft that delivers fuel to the engine
fulcrum,the pivot about which a lever turns
full-dress_uniform,the naval or military uniform that is specified by regulations to be worn on ceremonial occasions
full_metal_jacket,a lead bullet that is covered with a jacket of a harder metal (usually copper)
full_skirt,a long skirt gathered at the waist
full-wave_rectifier,rectifier that converts the negative half wave of an alternating current into a positive half wave
fumigator,a device that generates a gas for the purpose of disinfecting or eradicating pests
funeral_home,a mortuary where those who knew the deceased can come to pay their last respects
funeral_parlor,a mortuary where those who knew the deceased can come to pay their last respects
funeral_parlour,a mortuary where those who knew the deceased can come to pay their last respects
funeral_chapel,a mortuary where those who knew the deceased can come to pay their last respects
funeral_church,a mortuary where those who knew the deceased can come to pay their last respects
funeral-residence,a mortuary where those who knew the deceased can come to pay their last respects
fungible,a commodity that is freely interchangeable with another in satisfying an obligation
funk_hole,dugout as a place of safe retreat (when in a funk)
funnel,(nautical) smokestack consisting of a shaft for ventilation or the passage of smoke (especially the smokestack of a ship)
funnel,a conically shaped utensil having a narrow tube at the small end; used to channel the flow of substances into a container with a small mouth
funnel_web,a funnel-shaped spider web; the funnel-web spider perches in the center of the web
funny_wagon,an ambulance used to transport patients to a mental hospital
fur,a garment made of the dressed hairy coat of a mammal
fur_coat,a coat made of fur
fur_hat,a hat made of fur
furnace,"an enclosed chamber in which heat is produced to heat buildings, destroy refuse, smelt or refine ores, etc."
furnace_lining,lining consisting of material with a high melting point; used to line the inside walls of a furnace
refractory,lining consisting of material with a high melting point; used to line the inside walls of a furnace
furnace_room,a room (usually in the basement of a building) that contains a furnace for heating the building
furnishing,(usually plural) the instrumentalities (furniture and appliances and other movable accessories including curtains and rugs) that make a home (or other area) livable
furnishing,(usually plural) accessory wearing apparel
trappings,(usually plural) accessory wearing apparel
furniture,furnishings that make a room or other area ready for occupancy
piece_of_furniture,furnishings that make a room or other area ready for occupancy
article_of_furniture,furnishings that make a room or other area ready for occupancy
furosemide,commonly used diuretic (trade name Lasix) used to treat hypertension and edema
Lasix,commonly used diuretic (trade name Lasix) used to treat hypertension and edema
fur-piece,a neckpiece made of fur
furring_strip,strip used to give a level surface for attaching wallboard
furring,strip used to give a level surface for attaching wallboard
furrow,a long shallow trench in the ground (especially one made by a plow)
fuse,any igniter that is used to initiate the burning of a propellant
fuze,any igniter that is used to initiate the burning of a propellant
fusee,any igniter that is used to initiate the burning of a propellant
fuzee,any igniter that is used to initiate the burning of a propellant
primer,any igniter that is used to initiate the burning of a propellant
priming,any igniter that is used to initiate the burning of a propellant
fuse,an electrical device that can interrupt the flow of electrical current when it is overloaded
electrical_fuse,an electrical device that can interrupt the flow of electrical current when it is overloaded
safety_fuse,an electrical device that can interrupt the flow of electrical current when it is overloaded
fusee,a friction match with a large head that will stay alight in the wind
fuzee,a friction match with a large head that will stay alight in the wind
fusee,a colored flare used as a warning signal by trucks and trains
fuzee,a colored flare used as a warning signal by trucks and trains
fusee_drive,a spirally grooved spindle in a clock that counteracts the diminishing power of the uncoiling mainspring
fusee,a spirally grooved spindle in a clock that counteracts the diminishing power of the uncoiling mainspring
fuselage,the central body of an airplane that is designed to accommodate the crew and passengers (or cargo)
fusil,a light flintlock musket
fustian,a strong cotton and linen fabric with a slight nap
futon,mattress consisting of a pad of cotton batting that is used for sleeping on the floor or on a raised frame
futtock_shroud,shroud that is part of a ship's rigging
future,bulk commodities bought or sold at an agreed price for delivery at a specified future date
futures_exchange,a commodity exchange where futures contracts are traded
futures_market,a commodity exchange where futures contracts are traded
forward_market,a commodity exchange where futures contracts are traded
gabapentin,an anticonvulsant (trade name Neurontin) used to control some types of seizures in the treatment of epilepsy; also used to manage neuralgia caused by shingles
Neurontin,an anticonvulsant (trade name Neurontin) used to control some types of seizures in the treatment of epilepsy; also used to manage neuralgia caused by shingles
gabardine,a firm durable fabric with a twill weave
gable,the vertical triangular wall between the sloping ends of gable roof
gable_end,the vertical triangular wall between the sloping ends of gable roof
gable_wall,the vertical triangular wall between the sloping ends of gable roof
gable_roof,a double sloping roof with a ridge and gables at each end
saddle_roof,a double sloping roof with a ridge and gables at each end
saddleback,a double sloping roof with a ridge and gables at each end
saddleback_roof,a double sloping roof with a ridge and gables at each end
gaddi,a cushion on a throne for a prince in India
gadgetry,appliances collectively
gaff,an iron hook with a handle; used for landing large fish
gaff,a spar rising aft from a mast to support the head of a quadrilateral fore-and-aft sail
gaff,a sharp metal spike or spur that is fastened to the leg of a gamecock
gaffsail,a quadrilateral fore-and-aft sail suspended from a gaff
gaff-headed_sail,a quadrilateral fore-and-aft sail suspended from a gaff
gaff_topsail,a triangular fore-and-aft sail with its foot along the gaff and its luff on the topmast
fore-and-aft_topsail,a triangular fore-and-aft sail with its foot along the gaff and its luff on the topmast
gag,restraint put into a person's mouth to prevent speaking or shouting
muzzle,restraint put into a person's mouth to prevent speaking or shouting
gaiter,legging consisting of a cloth or leather covering for the leg from the knee to the ankle
gaiter,a shoe covering the ankle with elastic gores in the sides
Galilean_telescope,a type of refracting telescope that is no longer used in astronomy
galleon,a large square-rigged sailing ship with three or more masts; used by the Spanish for commerce and war from the 15th to 18th centuries
gallery,narrow recessed balcony area along an upper floor on the interior of a building; usually marked by a colonnade
gallery,a covered corridor (especially one extending along the wall of a building and supported with arches or columns)
gallery,a long usually narrow room used for some specific purpose
gallery,a room or series of rooms where works of art are exhibited
art_gallery,a room or series of rooms where works of art are exhibited
picture_gallery,a room or series of rooms where works of art are exhibited
galley,the area for food preparation on a ship
ship's_galley,the area for food preparation on a ship
caboose,the area for food preparation on a ship
cookhouse,the area for food preparation on a ship
galley,the kitchen area for food preparation on an airliner
galley,(classical antiquity) a crescent-shaped seagoing vessel propelled by oars
galley,"a large medieval vessel with a single deck propelled by sails and oars with guns at stern and prow; a complement of 1,000 men; used mainly in the Mediterranean for war and trading"
gallows,an instrument of execution consisting of a wooden frame from which a condemned person is executed by hanging
gallows_tree,alternative terms for gallows
gallows-tree,alternative terms for gallows
gibbet,alternative terms for gallows
gallous,alternative terms for gallows
galvanometer,meter for detecting or comparing or measuring small electric currents
gambling_house,a public building in which a variety of games of chance can be played (operated as a business)
gambling_den,a public building in which a variety of games of chance can be played (operated as a business)
gambling_hell,a public building in which a variety of games of chance can be played (operated as a business)
gaming_house,a public building in which a variety of games of chance can be played (operated as a business)
gambrel,a gable roof with two slopes on each side and the lower slope being steeper
gambrel_roof,a gable roof with two slopes on each side and the lower slope being steeper
game,the game equipment needed in order to play a particular game
gamebag,a canvas or leather bag for carrying game (especially birds) killed by a hunter
game_equipment,equipment or apparatus used in playing a game
gaming_card,one of a set of cards used in gambling games
gaming_table,a table used for gambling; may be equipped with a gameboard and slots for chips
gamma_hydroxybutyrate,a club drug available in liquid or powder form is taken orally (frequently combined with alcohol); used to incapacitate individuals for the commission of sexual assault and rape
GHB,a club drug available in liquid or powder form is taken orally (frequently combined with alcohol); used to incapacitate individuals for the commission of sexual assault and rape
gamma-interferon,a form of interferon that is produced by T cells and macrophages; involved in the activation of phagocytes
gamp,colloquial terms for an umbrella
brolly,colloquial terms for an umbrella
gang,tool consisting of a combination of implements arranged to work together
gangplank,a temporary bridge for getting on and off a vessel at dockside
gangboard,a temporary bridge for getting on and off a vessel at dockside
gangway,a temporary bridge for getting on and off a vessel at dockside
gangsaw,a power saw that has several parallel blades making simultaneous cuts
gangway,a temporary passageway of planks (as over mud on a building site)
gantlet,the convergence of two parallel railroad tracks in a narrow place; the inner rails cross and run parallel and then diverge so a train remains on its own tracks at all times
gantry,a framework of steel bars raised on side supports to bridge over or around something; can display railway signals above several tracks or can support a traveling crane etc.
gauntry,a framework of steel bars raised on side supports to bridge over or around something; can display railway signals above several tracks or can support a traveling crane etc.
gap,a narrow opening
crack,a narrow opening
garage,an outbuilding (or part of a building) for housing automobiles
garage,a repair shop where cars and trucks are serviced and repaired
service_department,a repair shop where cars and trucks are serviced and repaired
Garand_rifle,a semiautomatic rifle
Garand,a semiautomatic rifle
M-1,a semiautomatic rifle
M-1_rifle,a semiautomatic rifle
garbage,a receptacle where waste can be discarded
garbage_truck,a truck for collecting domestic refuse
dustcart,a truck for collecting domestic refuse
garboard,the first wale laid next to the keel of a wooden ship
garboard_plank,the first wale laid next to the keel of a wooden ship
garboard_strake,the first wale laid next to the keel of a wooden ship
garden,a plot of ground where plants are cultivated
garden,a yard or lawn adjoining a house
garden_hose,a hose used for watering a lawn or garden
garden_rake,a rake used by gardeners
garden_roller,heavy cast-iron cylinder used to flatten lawns
garden_spade,a spade used by gardeners
garden_tool,used for working in gardens or yards
lawn_tool,used for working in gardens or yards
garden_trowel,a trowel used by gardeners
gargoyle,an ornament consisting of a grotesquely carved figure of a person or animal
gargoyle,a spout that terminates in a grotesquely carved figure of a person or animal
garibaldi,a loose high-necked blouse with long sleeves; styled after the red flannel shirts worn by Garibaldi's soldiers
garlic_press,a press for extracting juice from garlic
garment,an article of clothing
garment_bag,a suitcase that unfolds to be hung up
garnish,any decoration added as a trimming or adornment
garrison,a fortified military post where troops are stationed
fort,a fortified military post where troops are stationed
garrison_cap,a wedge-shaped wool or cotton cap; worn as part of a uniform
overseas_cap,a wedge-shaped wool or cotton cap; worn as part of a uniform
garrote,an instrument of execution for execution by strangulation
garotte,an instrument of execution for execution by strangulation
garrotte,an instrument of execution for execution by strangulation
iron_collar,an instrument of execution for execution by strangulation
garter,a band (usually elastic) worn around the leg to hold up a stocking (or around the arm to hold up a sleeve)
supporter,a band (usually elastic) worn around the leg to hold up a stocking (or around the arm to hold up a sleeve)
garter_belt,a wide belt of elastic with straps hanging from it; worn by women to hold up stockings
suspender_belt,a wide belt of elastic with straps hanging from it; worn by women to hold up stockings
garter_stitch,a knitting stitch that results in a pattern of horizontal ridges formed by knitting both sides (instead of purling one side)
gas_guzzler,a car with relatively low fuel efficiency
gas_shell,(military) bomb consisting of an explosive projectile filled with a toxic gas that is released when the bomb explodes
gas_bracket,a pipe with one or more burners projecting from a wall
gas_burner,burner such that combustible gas issues from a nozzle to form a steady flame
gas_jet,burner such that combustible gas issues from a nozzle to form a steady flame
gas_chamber,instrument of execution consisting of a sealed chamber into which poison gas is introduced; used to kill people or animals
death_chamber,instrument of execution consisting of a sealed chamber into which poison gas is introduced; used to kill people or animals
gas-cooled_reactor,a nuclear reactor using gas as a coolant
gas-discharge_tube,a tube in which an electric discharge takes place through a gas
gas_engine,an internal-combustion engine similar to a gasoline engine but using natural gas instead of gasoline vapor
gas_fitting,the fitting (pipes or valves or meters) that convey gas from the gas main to the gas fixtures of a building
gas_fixture,a device to convey illuminating gas from the pipe to the gas burner
gas_furnace,a furnace that burns gas
gas_gun,a gun that fires gas shells
gas_heat,heating system that burns natural gas
gas_heater,a heater that burns gas for heat
gas_holder,a large gas-tight spherical or cylindrical tank for holding gas to be used as fuel
gasometer,a large gas-tight spherical or cylindrical tank for holding gas to be used as fuel
gasket,seal consisting of a ring for packing pistons or sealing a pipe joint
gas_lamp,a lamp that burns illuminating gas
gas_line,a pipeline used to transport natural gas
gas_main,a main that distributes gas
gas_maser,a maser in which microwave radiation interacts with gas molecules
gasmask,a protective mask with a filter; protects the face and lungs against poisonous gases
respirator,a protective mask with a filter; protects the face and lungs against poisonous gases
gas_helmet,a protective mask with a filter; protects the face and lungs against poisonous gases
gas_meter,a meter for measuring the amount of gas flowing through a particular pipe
gasometer,a meter for measuring the amount of gas flowing through a particular pipe
gasoline_engine,an internal-combustion engine that burns gasoline; most automobiles are driven by gasoline engines
petrol_engine,an internal-combustion engine that burns gasoline; most automobiles are driven by gasoline engines
gasoline_gauge,gauge that indicates the amount of gasoline left in the gasoline tank of a vehicle
gasoline_gage,gauge that indicates the amount of gasoline left in the gasoline tank of a vehicle
gas_gauge,gauge that indicates the amount of gasoline left in the gasoline tank of a vehicle
gas_gage,gauge that indicates the amount of gasoline left in the gasoline tank of a vehicle
